,AGEP,COW,SCHL,MAR,WKHP,SEX,INCOME
25359,46.0,1.0,16.0,5.0,52.0,Female,0.0
74067,38.0,1.0,17.0,5.0,16.0,Female,0.0
101136,57.0,2.0,19.0,1.0,38.0,Female,0.0
20704,26.0,1.0,21.0,5.0,40.0,Female,0.0
40913,28.0,3.0,21.0,5.0,37.0,Female,0.0
18772,24.0,1.0,21.0,1.0,35.0,Female,0.0
102800,41.0,1.0,22.0,5.0,40.0,Female,0.0
51400,29.0,1.0,21.0,1.0,35.0,Female,0.0
2768,20.0,4.0,19.0,5.0,6.0,Female,0.0
57355,56.0,6.0,16.0,1.0,25.0,Female,0.0
18840,26.0,1.0,21.0,5.0,40.0,Female,0.0
23311,59.0,3.0,15.0,5.0,50.0,Female,0.0
64100,22.0,1.0,16.0,5.0,15.0,Female,0.0
89717,48.0,1.0,21.0,1.0,20.0,Female,0.0
77065,41.0,2.0,24.0,1.0,10.0,Female,0.0
37008,38.0,1.0,24.0,1.0,16.0,Female,0.0
98656,61.0,1.0,10.0,1.0,20.0,Female,0.0
41209,35.0,3.0,16.0,5.0,38.0,Female,0.0
12681,26.0,1.0,21.0,5.0,40.0,Female,0.0
16373,34.0,1.0,18.0,1.0,15.0,Female,0.0
9272,30.0,3.0,20.0,5.0,40.0,Female,0.0
38201,54.0,7.0,22.0,1.0,15.0,Female,0.0
13589,28.0,1.0,19.0,5.0,40.0,Female,0.0
20758,20.0,1.0,19.0,5.0,12.0,Female,0.0
57887,41.0,5.0,21.0,3.0,40.0,Female,0.0
82807,43.0,1.0,16.0,5.0,42.0,Female,0.0
74347,53.0,3.0,18.0,1.0,40.0,Female,0.0
85705,52.0,1.0,16.0,1.0,36.0,Female,0.0
19002,55.0,1.0,19.0,3.0,20.0,Female,0.0
54309,62.0,1.0,16.0,1.0,25.0,Female,0.0
65531,30.0,6.0,21.0,5.0,50.0,Female,0.0
95006,20.0,1.0,16.0,5.0,30.0,Female,0.0
73330,58.0,1.0,16.0,2.0,25.0,Female,0.0
18652,24.0,2.0,21.0,5.0,70.0,Female,0.0
46559,37.0,6.0,21.0,5.0,40.0,Female,0.0
55083,47.0,1.0,18.0,1.0,28.0,Female,0.0
89026,22.0,2.0,19.0,5.0,20.0,Female,0.0
1350,37.0,2.0,20.0,5.0,40.0,Female,0.0
100656,58.0,7.0,20.0,1.0,25.0,Female,0.0
3744,21.0,1.0,19.0,5.0,30.0,Female,0.0
53644,58.0,7.0,16.0,1.0,4.0,Female,0.0
73716,63.0,3.0,16.0,3.0,21.0,Female,0.0
72916,22.0,1.0,21.0,5.0,40.0,Female,0.0
36687,52.0,1.0,16.0,1.0,40.0,Female,0.0
86461,29.0,1.0,19.0,5.0,20.0,Female,0.0
2712,22.0,1.0,19.0,5.0,6.0,Female,0.0
38546,24.0,1.0,19.0,1.0,20.0,Female,0.0
73438,33.0,1.0,16.0,5.0,44.0,Female,0.0
6444,27.0,1.0,20.0,1.0,34.0,Female,0.0
78110,31.0,1.0,19.0,1.0,30.0,Female,0.0
3309,20.0,1.0,19.0,5.0,20.0,Female,0.0
38641,67.0,1.0,16.0,1.0,21.0,Female,0.0
25204,37.0,1.0,20.0,1.0,30.0,Female,0.0
12915,28.0,1.0,22.0,5.0,40.0,Female,0.0
90183,31.0,7.0,19.0,5.0,40.0,Female,0.0
75451,30.0,1.0,18.0,3.0,40.0,Female,0.0
74570,31.0,1.0,16.0,3.0,45.0,Female,0.0
12373,55.0,2.0,20.0,3.0,40.0,Female,0.0
14286,51.0,6.0,16.0,5.0,20.0,Female,0.0
84475,62.0,6.0,16.0,5.0,30.0,Female,0.0
53007,42.0,1.0,24.0,1.0,31.0,Female,0.0
72970,45.0,7.0,20.0,1.0,70.0,Female,0.0
70603,29.0,1.0,19.0,5.0,40.0,Female,0.0
34581,26.0,1.0,17.0,5.0,15.0,Female,0.0
69639,37.0,1.0,20.0,1.0,40.0,Female,0.0
731,37.0,1.0,16.0,5.0,20.0,Female,0.0
88668,23.0,1.0,21.0,5.0,40.0,Female,0.0
96431,19.0,1.0,16.0,5.0,25.0,Female,0.0
11837,49.0,1.0,19.0,1.0,50.0,Female,0.0
98341,51.0,4.0,16.0,1.0,40.0,Female,0.0
9168,27.0,2.0,21.0,5.0,50.0,Female,0.0
61529,36.0,1.0,18.0,1.0,4.0,Female,0.0
98511,50.0,1.0,19.0,5.0,40.0,Female,0.0
9902,26.0,4.0,22.0,5.0,50.0,Female,0.0
25284,38.0,2.0,20.0,1.0,37.0,Female,0.0
31583,70.0,1.0,18.0,5.0,40.0,Female,0.0
66529,65.0,1.0,19.0,1.0,6.0,Female,0.0
14143,19.0,1.0,16.0,5.0,30.0,Female,0.0
56352,48.0,1.0,16.0,3.0,40.0,Female,0.0
20254,41.0,3.0,20.0,1.0,37.0,Female,0.0
26425,57.0,1.0,16.0,1.0,20.0,Female,0.0
91830,82.0,2.0,22.0,5.0,16.0,Female,0.0
35479,23.0,2.0,16.0,1.0,37.0,Female,0.0
67963,47.0,6.0,18.0,5.0,30.0,Female,0.0
62608,63.0,2.0,12.0,3.0,25.0,Female,0.0
24295,40.0,7.0,7.0,3.0,45.0,Female,0.0
42094,25.0,1.0,16.0,5.0,20.0,Female,0.0
35323,28.0,3.0,21.0,5.0,40.0,Female,0.0
2015,21.0,1.0,19.0,5.0,20.0,Female,0.0
51275,67.0,1.0,22.0,2.0,27.0,Female,0.0
7779,27.0,3.0,20.0,1.0,35.0,Female,0.0
5453,23.0,1.0,19.0,5.0,28.0,Female,0.0
20577,62.0,2.0,19.0,1.0,30.0,Female,0.0
77280,45.0,3.0,21.0,1.0,40.0,Female,0.0
3359,18.0,4.0,18.0,5.0,25.0,Female,0.0
7637,20.0,1.0,15.0,5.0,30.0,Female,0.0
85671,39.0,1.0,17.0,5.0,50.0,Female,0.0
12549,37.0,1.0,20.0,1.0,12.0,Female,0.0
68930,35.0,1.0,17.0,5.0,35.0,Female,0.0
60976,63.0,2.0,16.0,2.0,30.0,Female,0.0
26860,42.0,1.0,15.0,1.0,28.0,Female,0.0
84105,72.0,1.0,16.0,5.0,35.0,Female,0.0
7534,64.0,1.0,16.0,1.0,35.0,Female,0.0
98737,22.0,1.0,19.0,5.0,16.0,Female,0.0
60371,31.0,1.0,22.0,1.0,40.0,Female,0.0
51809,58.0,3.0,21.0,5.0,35.0,Female,0.0
101630,51.0,1.0,20.0,1.0,40.0,Female,0.0
60035,61.0,6.0,22.0,1.0,30.0,Female,0.0
35198,37.0,1.0,19.0,5.0,30.0,Female,0.0
5635,38.0,6.0,9.0,5.0,25.0,Female,0.0
44879,39.0,1.0,16.0,1.0,40.0,Female,0.0
73583,32.0,2.0,21.0,5.0,20.0,Female,0.0
51410,53.0,1.0,5.0,1.0,6.0,Female,0.0
3022,19.0,1.0,18.0,5.0,20.0,Female,0.0
1787,19.0,1.0,19.0,5.0,2.0,Female,0.0
25954,43.0,2.0,20.0,1.0,40.0,Female,0.0
84559,32.0,2.0,16.0,5.0,35.0,Female,0.0
31604,30.0,2.0,21.0,5.0,15.0,Female,0.0
58203,67.0,2.0,22.0,1.0,30.0,Female,0.0
53312,20.0,1.0,20.0,5.0,3.0,Female,0.0
73690,40.0,1.0,16.0,1.0,18.0,Female,0.0
101180,49.0,1.0,17.0,1.0,45.0,Female,0.0
36903,36.0,1.0,21.0,1.0,12.0,Female,0.0
51837,36.0,7.0,20.0,1.0,40.0,Female,0.0
55625,26.0,1.0,21.0,5.0,40.0,Female,0.0
51504,31.0,1.0,21.0,1.0,18.0,Female,0.0
45235,39.0,6.0,22.0,1.0,30.0,Female,0.0
22275,48.0,3.0,16.0,1.0,35.0,Female,0.0
17512,43.0,1.0,20.0,5.0,40.0,Female,0.0
82383,32.0,1.0,20.0,5.0,35.0,Female,0.0
18042,59.0,3.0,16.0,3.0,35.0,Female,0.0
75899,40.0,4.0,21.0,1.0,40.0,Female,0.0
88585,54.0,3.0,19.0,1.0,40.0,Female,0.0
36443,62.0,1.0,22.0,1.0,2.0,Female,0.0
33483,50.0,6.0,8.0,3.0,20.0,Female,0.0
74003,61.0,1.0,16.0,1.0,40.0,Female,0.0
22796,23.0,1.0,20.0,5.0,35.0,Female,0.0
73933,45.0,1.0,20.0,1.0,40.0,Female,0.0
74461,38.0,1.0,19.0,1.0,38.0,Female,0.0
77620,29.0,1.0,16.0,1.0,35.0,Female,0.0
84618,69.0,1.0,18.0,3.0,35.0,Female,0.0
11323,21.0,1.0,20.0,5.0,40.0,Female,0.0
422,77.0,1.0,16.0,1.0,14.0,Female,0.0
22051,46.0,2.0,22.0,1.0,24.0,Female,0.0
2177,29.0,1.0,19.0,4.0,40.0,Female,0.0
60196,30.0,2.0,18.0,1.0,40.0,Female,0.0
48905,19.0,1.0,20.0,5.0,40.0,Female,0.0
50470,32.0,4.0,22.0,1.0,40.0,Female,0.0
20719,21.0,4.0,19.0,5.0,7.0,Female,0.0
53778,29.0,1.0,21.0,5.0,35.0,Female,0.0
64020,39.0,1.0,17.0,5.0,30.0,Female,0.0
43011,26.0,1.0,16.0,5.0,40.0,Female,0.0
88966,48.0,1.0,18.0,1.0,40.0,Female,0.0
80561,71.0,1.0,8.0,2.0,20.0,Female,0.0
46887,30.0,1.0,24.0,1.0,50.0,Female,0.0
3969,17.0,2.0,18.0,5.0,15.0,Female,0.0
66253,50.0,1.0,16.0,1.0,40.0,Female,0.0
54300,47.0,5.0,16.0,5.0,40.0,Female,0.0
99854,35.0,1.0,21.0,5.0,45.0,Female,0.0
20369,50.0,1.0,12.0,5.0,30.0,Female,0.0
59243,23.0,1.0,21.0,5.0,40.0,Female,0.0
3728,17.0,1.0,16.0,5.0,4.0,Female,0.0
90923,22.0,1.0,18.0,5.0,45.0,Female,0.0
24612,51.0,1.0,20.0,1.0,20.0,Female,0.0
63807,50.0,1.0,16.0,5.0,40.0,Female,0.0
47444,37.0,7.0,15.0,1.0,40.0,Female,0.0
34559,40.0,1.0,19.0,1.0,45.0,Female,0.0
90266,30.0,2.0,21.0,5.0,40.0,Female,0.0
1047,29.0,1.0,19.0,4.0,40.0,Female,0.0
9003,70.0,2.0,16.0,3.0,25.0,Female,0.0
45467,25.0,1.0,21.0,5.0,32.0,Female,0.0
93696,30.0,5.0,18.0,5.0,40.0,Female,0.0
90045,31.0,1.0,14.0,5.0,23.0,Female,0.0
13928,49.0,1.0,18.0,3.0,40.0,Female,0.0
79850,28.0,1.0,20.0,1.0,40.0,Female,0.0
96629,25.0,6.0,21.0,5.0,50.0,Female,0.0
94066,53.0,3.0,19.0,1.0,40.0,Female,0.0
75532,47.0,1.0,16.0,5.0,28.0,Female,0.0
71094,36.0,4.0,22.0,3.0,32.0,Female,0.0
32302,49.0,1.0,16.0,1.0,35.0,Female,0.0
35334,23.0,1.0,16.0,5.0,30.0,Female,0.0
90965,34.0,6.0,19.0,5.0,40.0,Female,0.0
69324,34.0,3.0,19.0,5.0,40.0,Female,0.0
49007,48.0,6.0,15.0,1.0,30.0,Female,0.0
13486,34.0,1.0,21.0,5.0,50.0,Female,0.0
75000,21.0,1.0,18.0,5.0,30.0,Female,0.0
97475,37.0,1.0,20.0,1.0,40.0,Female,0.0
4874,57.0,1.0,16.0,3.0,28.0,Female,0.0
100706,22.0,1.0,21.0,5.0,15.0,Female,0.0
57027,63.0,1.0,16.0,1.0,37.0,Female,0.0
18758,70.0,2.0,16.0,1.0,20.0,Female,0.0
45041,27.0,1.0,21.0,5.0,40.0,Female,0.0
1144,19.0,2.0,19.0,5.0,35.0,Female,0.0
16314,56.0,6.0,18.0,3.0,50.0,Female,0.0
62036,34.0,1.0,21.0,1.0,40.0,Female,0.0
71673,32.0,5.0,21.0,5.0,42.0,Female,0.0
68003,32.0,3.0,21.0,5.0,37.0,Female,0.0
98132,70.0,1.0,16.0,1.0,37.0,Female,0.0
75984,35.0,6.0,18.0,4.0,10.0,Female,0.0
70256,32.0,2.0,19.0,1.0,24.0,Female,0.0
55984,41.0,1.0,18.0,1.0,20.0,Female,0.0
93194,59.0,2.0,16.0,1.0,40.0,Female,0.0
64856,52.0,2.0,16.0,5.0,25.0,Female,0.0
47279,35.0,1.0,19.0,1.0,40.0,Female,0.0
31315,49.0,1.0,19.0,1.0,50.0,Female,0.0
44279,67.0,2.0,21.0,5.0,2.0,Female,0.0
57663,56.0,1.0,16.0,1.0,40.0,Female,0.0
14779,49.0,6.0,16.0,1.0,8.0,Female,0.0
45804,64.0,3.0,18.0,1.0,4.0,Female,0.0
11820,65.0,1.0,16.0,3.0,40.0,Female,0.0
33905,52.0,2.0,17.0,1.0,40.0,Female,0.0
20476,31.0,1.0,22.0,5.0,50.0,Female,0.0
1556,21.0,1.0,20.0,5.0,10.0,Female,0.0
60379,50.0,1.0,21.0,1.0,42.0,Female,0.0
6554,46.0,3.0,19.0,5.0,40.0,Female,0.0
59721,36.0,1.0,22.0,1.0,48.0,Female,0.0
99991,56.0,2.0,18.0,3.0,40.0,Female,0.0
26015,50.0,1.0,16.0,1.0,40.0,Female,0.0
80894,27.0,2.0,21.0,5.0,45.0,Female,0.0
7545,26.0,1.0,22.0,5.0,45.0,Female,0.0
1384,22.0,4.0,16.0,5.0,14.0,Female,0.0
59831,27.0,1.0,18.0,1.0,40.0,Female,0.0
12645,37.0,5.0,19.0,3.0,40.0,Female,0.0
76933,61.0,6.0,20.0,1.0,21.0,Female,0.0
33074,61.0,1.0,19.0,3.0,16.0,Female,0.0
33654,55.0,1.0,16.0,1.0,38.0,Female,0.0
77125,34.0,1.0,16.0,3.0,50.0,Female,0.0
98919,52.0,1.0,16.0,3.0,40.0,Female,0.0
102967,26.0,1.0,19.0,5.0,8.0,Female,0.0
49022,22.0,1.0,19.0,5.0,40.0,Female,0.0
65197,55.0,1.0,16.0,4.0,45.0,Female,0.0
6149,29.0,1.0,21.0,5.0,36.0,Female,0.0
100312,67.0,3.0,22.0,1.0,2.0,Female,0.0
42116,45.0,3.0,19.0,1.0,32.0,Female,0.0
52050,53.0,1.0,19.0,1.0,40.0,Female,0.0
94958,22.0,1.0,18.0,1.0,37.0,Female,0.0
101040,20.0,1.0,20.0,5.0,25.0,Female,0.0
63512,44.0,1.0,16.0,1.0,45.0,Female,0.0
82789,46.0,2.0,16.0,1.0,40.0,Female,0.0
54338,36.0,1.0,19.0,1.0,40.0,Female,0.0
4649,49.0,1.0,21.0,5.0,44.0,Female,0.0
59158,54.0,1.0,20.0,1.0,40.0,Female,0.0
67335,23.0,2.0,16.0,1.0,40.0,Female,0.0
81091,64.0,1.0,16.0,5.0,15.0,Female,0.0
48567,35.0,3.0,19.0,3.0,37.0,Female,0.0
62211,24.0,1.0,21.0,5.0,20.0,Female,0.0
30046,62.0,6.0,19.0,1.0,48.0,Female,0.0
81319,46.0,3.0,17.0,1.0,35.0,Female,0.0
40539,21.0,2.0,21.0,5.0,40.0,Female,0.0
77899,59.0,1.0,13.0,1.0,35.0,Female,0.0
80404,33.0,1.0,10.0,5.0,36.0,Female,0.0
91378,18.0,6.0,11.0,5.0,18.0,Female,0.0
66073,30.0,1.0,20.0,5.0,40.0,Female,0.0
26323,42.0,1.0,21.0,2.0,25.0,Female,0.0
79270,18.0,3.0,14.0,5.0,4.0,Female,0.0
89409,56.0,1.0,1.0,1.0,55.0,Female,0.0
64665,27.0,1.0,21.0,5.0,40.0,Female,0.0
15251,21.0,1.0,19.0,5.0,40.0,Female,0.0
68485,29.0,6.0,21.0,5.0,25.0,Female,0.0
37696,58.0,6.0,20.0,3.0,10.0,Female,0.0
18958,28.0,1.0,21.0,5.0,40.0,Female,0.0
3451,19.0,1.0,19.0,5.0,30.0,Female,0.0
45577,57.0,1.0,16.0,1.0,40.0,Female,0.0
3603,20.0,1.0,19.0,5.0,35.0,Female,0.0
41462,58.0,1.0,21.0,1.0,29.0,Female,0.0
65351,27.0,1.0,21.0,5.0,35.0,Female,0.0
1710,18.0,4.0,16.0,5.0,6.0,Female,0.0
205,27.0,2.0,24.0,5.0,40.0,Female,0.0
38888,48.0,6.0,21.0,3.0,40.0,Female,0.0
54575,62.0,1.0,20.0,1.0,40.0,Female,0.0
31809,58.0,1.0,21.0,1.0,20.0,Female,0.0
9704,31.0,2.0,21.0,3.0,40.0,Female,0.0
24635,32.0,1.0,20.0,3.0,32.0,Female,0.0
51466,26.0,1.0,18.0,5.0,40.0,Female,0.0
20357,38.0,6.0,21.0,3.0,40.0,Female,0.0
66724,25.0,1.0,19.0,5.0,37.0,Female,0.0
21938,18.0,1.0,19.0,5.0,8.0,Female,0.0
9216,43.0,1.0,18.0,5.0,40.0,Female,0.0
64699,53.0,1.0,20.0,5.0,30.0,Female,0.0
73188,44.0,1.0,16.0,1.0,30.0,Female,0.0
102071,43.0,1.0,23.0,1.0,99.0,Female,0.0
29035,36.0,1.0,21.0,5.0,25.0,Female,0.0
14191,32.0,1.0,16.0,4.0,21.0,Female,0.0
88896,21.0,1.0,21.0,5.0,20.0,Female,0.0
45345,56.0,1.0,11.0,2.0,35.0,Female,0.0
30881,44.0,2.0,18.0,4.0,40.0,Female,0.0
37405,47.0,2.0,18.0,1.0,20.0,Female,0.0
43507,21.0,1.0,18.0,5.0,18.0,Female,0.0
8150,20.0,1.0,16.0,5.0,30.0,Female,0.0
14293,66.0,1.0,21.0,5.0,40.0,Female,0.0
20769,17.0,1.0,14.0,5.0,20.0,Female,0.0
1783,18.0,4.0,16.0,5.0,6.0,Female,0.0
62350,50.0,6.0,16.0,1.0,25.0,Female,0.0
1526,20.0,1.0,16.0,5.0,8.0,Female,0.0
80640,21.0,1.0,19.0,5.0,16.0,Female,0.0
18112,66.0,6.0,22.0,1.0,20.0,Female,0.0
86204,21.0,1.0,21.0,5.0,30.0,Female,0.0
98068,51.0,6.0,19.0,1.0,35.0,Female,0.0
46029,32.0,1.0,16.0,1.0,40.0,Female,0.0
41674,26.0,1.0,20.0,5.0,30.0,Female,0.0
7100,61.0,1.0,20.0,3.0,15.0,Female,0.0
11202,63.0,1.0,21.0,1.0,32.0,Female,0.0
86613,31.0,6.0,18.0,1.0,32.0,Female,0.0
4003,59.0,1.0,20.0,2.0,24.0,Female,0.0
77516,64.0,1.0,22.0,2.0,15.0,Female,0.0
50290,57.0,1.0,18.0,1.0,40.0,Female,0.0
64746,42.0,1.0,16.0,3.0,40.0,Female,0.0
68909,50.0,1.0,21.0,3.0,35.0,Female,0.0
59287,30.0,2.0,19.0,5.0,40.0,Female,0.0
102159,17.0,2.0,13.0,5.0,40.0,Female,0.0
39056,47.0,6.0,21.0,1.0,40.0,Female,0.0
19659,67.0,6.0,13.0,1.0,1.0,Female,0.0
100017,65.0,6.0,19.0,5.0,20.0,Female,0.0
61809,66.0,2.0,20.0,5.0,40.0,Female,0.0
20473,21.0,3.0,19.0,5.0,30.0,Female,0.0
5642,35.0,1.0,20.0,1.0,40.0,Female,0.0
76853,51.0,6.0,20.0,3.0,30.0,Female,0.0
39454,55.0,4.0,16.0,1.0,40.0,Female,0.0
3749,19.0,1.0,16.0,5.0,15.0,Female,0.0
61296,38.0,4.0,20.0,1.0,48.0,Female,0.0
68771,29.0,6.0,16.0,5.0,40.0,Female,0.0
87460,74.0,2.0,1.0,1.0,20.0,Female,0.0
39911,53.0,1.0,15.0,4.0,45.0,Female,0.0
53822,33.0,3.0,22.0,1.0,40.0,Female,0.0
67690,56.0,1.0,16.0,1.0,25.0,Female,0.0
68896,55.0,1.0,21.0,1.0,25.0,Female,0.0
76197,55.0,1.0,19.0,2.0,48.0,Female,0.0
98606,63.0,2.0,16.0,2.0,37.0,Female,0.0
12788,34.0,6.0,16.0,1.0,40.0,Female,0.0
53201,60.0,1.0,19.0,1.0,35.0,Female,0.0
79295,39.0,1.0,16.0,1.0,40.0,Female,0.0
30413,60.0,1.0,13.0,2.0,10.0,Female,0.0
102194,54.0,1.0,16.0,3.0,40.0,Female,0.0
45460,44.0,1.0,15.0,5.0,40.0,Female,0.0
2450,21.0,1.0,19.0,5.0,20.0,Female,0.0
66485,63.0,3.0,20.0,1.0,35.0,Female,0.0
663,20.0,1.0,18.0,5.0,24.0,Female,0.0
83932,38.0,7.0,20.0,5.0,30.0,Female,0.0
55546,53.0,1.0,19.0,5.0,42.0,Female,0.0
39845,43.0,1.0,11.0,1.0,30.0,Female,0.0
85693,19.0,1.0,18.0,5.0,15.0,Female,0.0
56776,39.0,1.0,21.0,1.0,30.0,Female,0.0
90788,22.0,2.0,21.0,5.0,40.0,Female,0.0
47399,34.0,1.0,19.0,1.0,45.0,Female,0.0
4774,22.0,1.0,21.0,5.0,20.0,Female,0.0
51359,65.0,1.0,20.0,1.0,18.0,Female,0.0
85107,26.0,2.0,15.0,5.0,30.0,Female,0.0
7888,36.0,1.0,16.0,5.0,25.0,Female,0.0
12563,25.0,1.0,21.0,5.0,28.0,Female,0.0
33859,18.0,3.0,16.0,5.0,30.0,Female,0.0
71119,65.0,1.0,19.0,1.0,40.0,Female,0.0
50197,67.0,1.0,22.0,1.0,15.0,Female,0.0
26929,48.0,4.0,22.0,5.0,37.0,Female,0.0
33364,46.0,1.0,20.0,1.0,32.0,Female,0.0
87210,49.0,1.0,17.0,3.0,42.0,Female,0.0
48830,21.0,4.0,19.0,5.0,30.0,Female,0.0
16065,52.0,1.0,16.0,1.0,9.0,Female,0.0
87327,22.0,1.0,21.0,5.0,25.0,Female,0.0
96884,18.0,3.0,16.0,5.0,25.0,Female,0.0
45407,50.0,1.0,11.0,5.0,30.0,Female,0.0
24043,58.0,2.0,19.0,3.0,15.0,Female,0.0
101208,51.0,2.0,21.0,3.0,40.0,Female,0.0
25178,30.0,1.0,20.0,5.0,40.0,Female,0.0
84465,57.0,3.0,19.0,5.0,35.0,Female,0.0
71040,53.0,1.0,16.0,1.0,40.0,Female,0.0
55992,23.0,5.0,16.0,1.0,40.0,Female,0.0
81069,17.0,1.0,15.0,5.0,25.0,Female,0.0
88781,42.0,3.0,21.0,1.0,24.0,Female,0.0
95895,17.0,1.0,14.0,5.0,25.0,Female,0.0
9780,55.0,1.0,15.0,5.0,20.0,Female,0.0
79364,43.0,1.0,17.0,5.0,40.0,Female,0.0
49684,55.0,1.0,10.0,1.0,40.0,Female,0.0
102695,39.0,2.0,20.0,3.0,40.0,Female,0.0
85344,38.0,2.0,22.0,5.0,20.0,Female,0.0
59134,71.0,2.0,24.0,1.0,1.0,Female,0.0
64736,56.0,7.0,21.0,5.0,20.0,Female,0.0
61782,26.0,1.0,22.0,5.0,60.0,Female,0.0
50633,54.0,1.0,20.0,3.0,40.0,Female,0.0
42065,39.0,1.0,16.0,5.0,30.0,Female,0.0
46757,68.0,1.0,16.0,1.0,30.0,Female,0.0
1175,20.0,1.0,19.0,5.0,15.0,Female,0.0
40794,67.0,3.0,16.0,1.0,20.0,Female,0.0
72911,23.0,1.0,21.0,5.0,33.0,Female,0.0
76404,70.0,2.0,16.0,1.0,40.0,Female,0.0
46058,53.0,1.0,16.0,1.0,36.0,Female,0.0
90904,51.0,1.0,19.0,5.0,40.0,Female,0.0
60202,60.0,6.0,16.0,1.0,40.0,Female,0.0
45233,40.0,1.0,9.0,1.0,45.0,Female,0.0
3267,20.0,2.0,16.0,5.0,20.0,Female,0.0
70643,33.0,1.0,21.0,1.0,35.0,Female,0.0
71260,33.0,1.0,21.0,5.0,23.0,Female,0.0
13054,63.0,6.0,19.0,3.0,30.0,Female,0.0
16513,22.0,1.0,16.0,5.0,20.0,Female,0.0
29564,73.0,1.0,16.0,2.0,35.0,Female,0.0
43297,62.0,1.0,16.0,5.0,55.0,Female,0.0
91410,54.0,1.0,21.0,1.0,20.0,Female,0.0
85638,62.0,3.0,18.0,1.0,35.0,Female,0.0
24763,55.0,3.0,22.0,1.0,45.0,Female,0.0
91925,69.0,1.0,20.0,1.0,15.0,Female,0.0
17301,53.0,1.0,18.0,1.0,40.0,Female,0.0
39836,46.0,1.0,16.0,1.0,11.0,Female,0.0
87891,33.0,1.0,20.0,1.0,40.0,Female,0.0
6405,34.0,1.0,20.0,1.0,40.0,Female,0.0
79293,27.0,2.0,1.0,5.0,23.0,Female,0.0
59300,46.0,2.0,17.0,5.0,28.0,Female,0.0
36375,21.0,1.0,16.0,5.0,20.0,Female,0.0
100529,55.0,1.0,19.0,4.0,20.0,Female,0.0
53802,66.0,1.0,17.0,1.0,20.0,Female,0.0
66862,35.0,6.0,21.0,1.0,20.0,Female,0.0
53460,58.0,7.0,19.0,3.0,40.0,Female,0.0
34224,70.0,1.0,21.0,5.0,40.0,Female,0.0
45139,53.0,1.0,21.0,1.0,50.0,Female,0.0
83758,61.0,1.0,21.0,1.0,35.0,Female,0.0
52793,25.0,3.0,22.0,5.0,35.0,Female,0.0
823,19.0,1.0,19.0,5.0,15.0,Female,0.0
23533,52.0,1.0,16.0,5.0,40.0,Female,0.0
68868,56.0,1.0,20.0,1.0,40.0,Female,0.0
53059,54.0,1.0,16.0,1.0,28.0,Female,0.0
7677,27.0,1.0,21.0,1.0,40.0,Female,0.0
37119,30.0,1.0,21.0,1.0,32.0,Female,0.0
76191,21.0,2.0,21.0,5.0,12.0,Female,0.0
2096,20.0,1.0,18.0,5.0,30.0,Female,0.0
813,20.0,2.0,16.0,5.0,15.0,Female,0.0
83925,34.0,6.0,16.0,3.0,30.0,Female,0.0
41883,53.0,3.0,20.0,5.0,40.0,Female,0.0
24458,26.0,2.0,22.0,5.0,40.0,Female,0.0
824,18.0,1.0,18.0,5.0,4.0,Female,0.0
74039,47.0,4.0,22.0,1.0,27.0,Female,0.0
98146,51.0,1.0,21.0,3.0,40.0,Female,0.0
69440,40.0,1.0,20.0,5.0,20.0,Female,0.0
49524,45.0,1.0,16.0,1.0,40.0,Female,0.0
95700,46.0,1.0,24.0,1.0,25.0,Female,0.0
66165,25.0,3.0,22.0,5.0,36.0,Female,0.0
84035,32.0,1.0,16.0,5.0,20.0,Female,0.0
100862,58.0,1.0,1.0,1.0,40.0,Female,0.0
24206,60.0,3.0,17.0,1.0,7.0,Female,0.0
75431,23.0,3.0,16.0,5.0,24.0,Female,0.0
16076,28.0,1.0,19.0,5.0,30.0,Female,0.0
3634,19.0,1.0,19.0,5.0,30.0,Female,0.0
74176,43.0,1.0,20.0,1.0,50.0,Female,0.0
19182,51.0,3.0,13.0,3.0,32.0,Female,0.0
95252,64.0,2.0,20.0,1.0,35.0,Female,0.0
4005,49.0,1.0,20.0,3.0,40.0,Female,0.0
8218,39.0,6.0,16.0,5.0,16.0,Female,0.0
9536,52.0,1.0,1.0,1.0,40.0,Female,0.0
4161,61.0,1.0,20.0,3.0,35.0,Female,0.0
81073,24.0,2.0,21.0,5.0,40.0,Female,0.0
89776,63.0,1.0,14.0,1.0,32.0,Female,0.0
50289,27.0,1.0,19.0,5.0,20.0,Female,0.0
8191,65.0,1.0,19.0,1.0,30.0,Female,0.0
95440,29.0,1.0,14.0,5.0,30.0,Female,0.0
70958,29.0,2.0,21.0,1.0,24.0,Female,0.0
60032,59.0,1.0,22.0,1.0,28.0,Female,0.0
12414,22.0,1.0,21.0,5.0,40.0,Female,0.0
54922,43.0,8.0,16.0,3.0,40.0,Female,0.0
28746,67.0,1.0,20.0,3.0,12.0,Female,0.0
29186,30.0,1.0,17.0,3.0,36.0,Female,0.0
28937,43.0,1.0,16.0,1.0,45.0,Female,0.0
91312,61.0,1.0,21.0,1.0,25.0,Female,0.0
26175,64.0,6.0,19.0,1.0,25.0,Female,0.0
9031,22.0,4.0,21.0,5.0,15.0,Female,0.0
66324,29.0,1.0,20.0,1.0,40.0,Female,0.0
73862,45.0,3.0,20.0,3.0,25.0,Female,0.0
55475,24.0,2.0,22.0,5.0,39.0,Female,0.0
50963,41.0,4.0,21.0,1.0,40.0,Female,0.0
