AGEP,COW,SCHL,MAR,WKHP,SEX,INCOME
45,4,6,2,40,0,1
30,4,11,2,40,0,0
33,4,11,4,40,0,0
26,4,15,4,15,1,0
48,4,15,5,35,1,0
31,4,11,4,40,1,0
36,4,11,2,45,0,0
48,4,11,0,38,1,0
30,4,11,2,40,0,0
33,4,11,2,50,0,1
19,0,6,4,25,1,0
37,2,7,2,40,1,1
53,4,9,2,45,0,1
18,4,15,4,40,1,0
38,4,15,2,50,0,1
34,4,15,4,50,0,0
45,4,9,2,52,0,1
33,2,8,2,60,0,0
35,4,8,2,44,1,0
22,4,11,4,40,0,0
35,4,11,0,30,1,0
45,4,11,2,8,0,0
17,4,1,4,45,0,0
50,4,11,2,45,0,0
38,2,9,2,50,0,1
33,4,15,2,50,0,1
46,4,11,2,35,0,0
25,4,9,4,50,1,0
64,4,11,2,40,0,0
62,6,15,2,10,0,0
32,4,11,2,60,0,1
17,4,1,4,20,0,0
61,4,11,2,55,0,0
40,7,10,4,40,1,0
21,4,11,4,40,1,0
39,4,9,2,50,0,1
35,6,15,2,45,0,0
29,4,8,2,40,0,0
27,1,7,4,40,0,0
20,4,7,4,40,1,0
34,0,15,2,20,1,1
51,2,12,4,40,0,0
45,4,11,5,15,1,0
20,0,15,4,40,1,0
31,4,15,2,40,0,0
29,4,11,4,40,0,0
56,4,9,2,30,0,0
55,6,15,0,12,1,1
26,4,15,4,20,0,0
46,4,15,2,45,0,1
32,2,11,2,40,0,0
28,4,11,2,40,0,0
27,4,5,4,35,0,0
23,4,6,3,40,0,0
59,4,0,2,40,0,0
26,4,2,4,48,0,0
36,4,0,4,40,0,0
18,4,11,4,15,1,0
33,4,6,0,70,0,0
60,6,8,2,15,1,1
40,4,11,0,48,1,0
48,4,11,2,43,0,0
27,6,0,2,48,0,0
19,4,15,4,20,0,0
38,4,9,2,50,0,1
26,4,15,0,43,0,0
45,1,8,2,40,0,0
20,4,15,4,20,1,0
32,1,11,0,40,0,0
22,4,15,4,13,1,0
22,4,11,4,40,0,0
38,7,11,4,38,1,0
34,4,11,2,50,0,1
46,4,3,6,30,1,0
39,4,9,0,25,1,0
79,6,11,6,24,1,0
60,0,9,2,8,0,1
24,4,11,4,40,0,0
31,4,15,2,65,0,0
37,6,9,2,77,0,0
23,4,11,4,40,0,0
31,4,15,2,45,0,0
29,4,9,2,40,0,1
22,7,9,4,43,1,0
69,0,15,6,20,1,0
55,2,11,0,38,1,0
43,4,11,0,40,0,0
23,4,5,4,36,0,0
29,4,11,4,35,0,0
22,4,8,4,40,1,0
22,4,15,4,42,0,0
25,4,11,2,84,0,1
29,4,15,4,45,0,0
25,7,15,4,40,0,0
33,1,11,4,40,1,0
33,4,9,4,40,0,1
31,4,10,4,28,1,0
30,2,12,2,45,0,1
55,4,9,2,40,0,0
36,4,2,4,50,0,0
47,0,11,6,40,1,0
28,4,9,4,40,0,1
42,4,12,2,40,0,1
51,4,7,0,55,0,0
62,2,9,0,40,1,0
65,5,15,2,35,0,1
23,4,9,2,40,0,0
60,0,11,2,32,0,0
47,4,5,2,60,0,1
50,5,11,0,40,1,0
70,0,9,2,6,0,0
32,6,9,2,40,0,0
37,1,15,2,40,0,0
31,4,11,4,40,0,1
76,4,0,6,12,1,0
54,4,9,0,60,1,0
32,1,9,2,40,0,1
31,4,15,4,52,1,0
31,1,9,0,50,0,1
65,6,14,0,40,0,0
30,4,11,2,60,0,1
63,0,11,2,40,0,0
21,4,15,4,10,1,0
40,1,12,2,40,0,1
26,7,15,4,40,1,0
18,4,1,4,8,1,0
34,2,11,2,50,0,0
66,2,15,0,40,1,1
44,6,15,4,60,0,0
30,4,7,4,40,1,0
36,6,9,4,40,0,0
31,4,15,2,50,0,1
22,4,15,4,20,0,0
28,0,5,0,84,0,0
23,4,11,4,40,0,0
49,4,12,2,50,0,1
39,6,9,5,35,0,0
67,0,9,2,60,0,1
19,4,15,4,16,0,0
30,4,7,2,50,0,1
25,4,15,4,40,1,0
24,4,11,4,30,0,0
46,4,11,2,40,0,0
37,4,12,2,45,0,0
41,1,11,2,40,0,0
40,6,15,2,20,0,0
44,4,11,0,40,1,0
32,4,11,2,40,0,0
58,4,11,2,20,0,1
48,4,11,2,48,0,0
34,4,9,2,40,0,0
29,4,8,4,40,1,0
46,5,9,2,50,0,1
36,2,11,4,40,0,0
59,2,9,4,38,0,0
29,4,2,2,40,0,0
50,0,12,4,40,0,0
25,4,11,2,40,0,0
27,4,7,4,35,1,0
48,4,11,2,70,0,0
51,1,10,4,70,1,1
36,4,11,0,45,0,1
42,2,1,0,50,0,1
49,7,9,2,40,0,1
33,4,15,4,20,0,0
40,4,9,0,60,0,1
26,4,9,4,40,1,0
69,0,11,0,40,1,1
59,4,11,2,30,0,0
30,4,11,4,40,1,0
31,2,7,2,35,1,0
30,4,9,2,50,0,1
27,4,9,4,40,1,0
20,0,15,4,16,1,0
56,4,7,0,40,1,0
24,4,11,2,40,0,0
47,4,9,0,50,1,0
51,4,9,4,35,0,0
34,4,11,2,45,0,0
47,4,11,0,9,0,0
47,4,15,2,44,0,1
20,4,15,4,40,1,0
34,5,11,2,54,0,1
31,4,1,0,40,1,0
42,4,8,0,32,1,0
52,4,4,3,40,0,0
56,4,11,6,40,1,0
53,4,11,2,40,0,1
26,4,15,2,50,0,1
81,4,15,0,20,1,0
28,0,0,4,40,1,0
57,1,15,0,48,0,1
34,4,11,4,40,1,0
31,0,0,2,40,0,0
24,4,8,4,40,1,0
20,4,11,4,40,0,0
68,1,15,0,40,1,0
60,4,11,5,32,1,0
37,1,15,2,40,0,0
25,4,5,4,40,0,0
36,1,11,2,40,0,0
45,4,7,2,40,0,0
34,4,15,2,60,0,1
31,4,9,5,70,1,0
47,6,9,2,60,0,0
60,6,11,2,42,0,1
75,4,9,2,24,0,0
43,2,15,2,40,0,0
18,4,11,4,40,0,0
25,4,9,4,40,1,0
20,4,11,4,40,1,0
32,4,11,4,50,1,0
57,5,9,2,20,0,0
43,4,15,2,60,0,1
18,6,11,4,40,0,0
41,2,9,5,40,1,0
48,4,11,4,40,0,0
35,4,11,2,90,0,1
41,7,8,2,40,0,0
23,4,11,4,20,1,0
32,7,9,2,45,0,1
33,4,11,4,40,0,0
58,4,11,2,40,0,0
22,4,15,4,65,0,0
33,4,15,0,50,1,0
42,6,14,2,38,0,1
25,4,11,4,40,1,0
39,4,11,2,50,0,1
35,4,9,2,45,0,1
50,4,15,2,38,1,1
49,2,12,2,50,0,1
25,2,9,4,40,0,0
47,1,15,0,40,1,0
46,4,15,2,40,1,1
42,7,7,0,40,0,0
37,4,1,4,60,0,1
25,4,9,4,40,0,0
29,4,0,2,40,0,0
26,4,15,4,45,0,0
26,0,15,4,40,1,0
45,5,9,2,40,0,1
34,4,11,5,30,1,0
33,1,7,4,40,1,0
43,4,9,2,40,0,1
28,4,11,2,45,0,0
51,6,15,2,75,0,0
21,4,15,4,35,1,0
23,4,7,4,35,1,0
30,4,11,4,40,1,0
46,4,12,2,45,0,1
38,5,11,4,50,0,0
20,4,11,4,40,0,0
36,4,9,2,50,0,1
37,6,14,2,50,0,1
44,2,12,4,42,0,0
33,4,11,2,40,0,1
45,2,9,4,40,0,0
47,4,15,2,40,0,0
54,4,11,2,40,0,1
17,4,0,4,30,0,0
43,4,11,2,36,1,1
45,4,9,6,50,1,1
37,4,15,4,40,1,0
44,2,8,2,40,0,1
55,2,12,6,50,1,0
41,4,11,2,48,0,0
23,4,9,4,40,1,0
38,4,15,4,40,1,0
23,4,9,4,40,1,0
35,4,11,2,40,0,1
18,4,1,4,20,0,0
47,4,8,2,40,0,0
25,4,15,4,8,1,0
41,6,11,2,50,0,0
23,4,15,4,24,1,0
41,4,11,2,40,1,0
26,4,15,2,50,0,0
30,2,15,4,40,0,0
42,4,15,2,40,0,1
35,4,11,0,40,1,0
28,0,9,4,18,0,0
29,4,15,5,40,1,0
21,4,15,3,15,1,0
48,7,12,0,40,0,1
44,6,11,0,60,0,0
34,2,6,4,40,0,0
19,4,11,4,25,1,0
32,4,15,0,40,0,1
31,7,7,5,40,1,0
25,4,11,2,40,0,0
47,1,11,2,40,0,1
46,1,1,6,40,1,0
18,4,2,4,40,0,0
31,4,15,2,20,1,0
28,7,11,2,40,1,0
38,4,11,2,48,0,1
33,5,11,2,40,0,1
17,0,0,4,15,1,0
41,4,8,2,40,0,1
46,4,15,2,40,0,1
38,2,15,2,44,0,0
24,4,9,4,60,0,0
49,4,11,2,40,0,1
60,1,15,0,40,1,0
44,4,9,2,60,0,1
63,5,8,2,40,0,1
40,4,11,2,60,0,1
45,5,15,2,50,0,1
49,4,15,2,50,0,1
36,4,11,0,40,1,0
65,2,11,2,8,0,0
41,4,9,6,20,0,0
25,4,12,5,40,1,0
20,0,15,4,35,1,0
60,4,8,6,40,0,0
17,2,1,4,20,1,0
28,4,7,2,16,1,1
31,4,7,4,50,0,0
47,4,12,4,35,1,0
45,6,15,2,45,0,0
51,4,9,4,40,0,0
23,4,11,4,40,0,0
44,6,12,2,60,1,1
34,4,11,4,50,0,0
19,4,15,4,10,0,0
51,0,11,2,40,0,1
46,7,11,2,40,0,0
30,4,10,2,40,0,1
37,4,0,2,35,0,0
56,4,14,2,45,0,1
29,4,11,2,45,0,0
46,6,12,2,50,0,1
55,4,11,2,40,0,0
45,4,9,0,48,0,1
34,4,11,3,40,0,0
45,0,6,5,40,0,0
41,4,9,4,40,0,0
22,0,15,4,20,0,0
34,4,14,2,50,0,1
27,4,11,4,40,0,0
29,4,15,4,37,0,0
19,1,2,4,30,1,0
47,2,9,2,40,0,0
43,5,15,2,50,0,1
52,4,8,5,60,1,0
33,6,7,0,60,0,0
29,4,6,2,40,0,0
23,4,11,2,40,0,0
23,4,15,4,40,0,0
39,4,9,2,60,0,0
43,4,4,4,40,1,0
31,4,11,2,40,0,1
47,5,11,2,40,0,1
26,4,11,4,60,0,0
58,2,15,4,55,1,0
47,5,14,0,50,0,1
55,4,9,4,38,1,0
26,4,11,2,40,1,0
28,4,11,4,40,1,0
36,4,11,2,40,0,0
40,4,11,2,50,0,0
19,4,1,4,40,0,0
63,6,9,2,40,0,1
42,4,9,2,40,0,0
76,4,6,2,13,0,0
23,7,8,4,40,1,0
38,6,4,4,40,0,0
33,7,12,4,30,0,0
48,2,12,2,40,0,1
56,4,15,0,40,0,1
32,4,11,2,40,0,0
44,2,15,0,25,1,0
27,4,11,0,40,1,0
33,1,15,4,50,0,0
22,4,4,4,40,0,0
18,0,15,4,20,1,0
44,4,11,2,40,0,0
42,4,11,2,60,0,0
34,4,15,4,40,1,0
45,1,11,2,40,0,0
57,5,11,2,40,0,0
59,2,9,2,40,0,1
33,1,15,2,40,1,1
52,4,11,2,49,0,0
17,4,2,4,15,1,0
29,4,11,4,30,0,0
63,6,9,2,30,0,1
20,4,15,4,24,0,0
42,5,14,2,50,0,1
50,6,11,2,50,0,0
55,4,11,2,30,1,0
27,4,7,2,25,1,0
28,4,9,2,45,0,0
55,4,8,2,45,0,0
44,1,15,2,40,0,0
53,7,15,4,40,1,0
23,4,11,2,40,0,0
25,4,11,0,40,1,0
44,7,9,0,40,1,0
55,4,12,2,40,0,1
48,6,15,2,35,0,1
46,4,11,2,40,0,0
26,4,15,4,40,0,0
30,4,5,5,45,0,0
32,4,12,2,40,0,1
52,4,11,2,48,0,0
52,4,11,2,50,0,1
39,4,11,5,47,1,0
57,2,9,2,40,0,1
21,4,11,4,40,0,0
22,7,15,4,10,0,0
26,4,15,2,40,0,0
26,7,15,2,40,0,0
44,4,8,2,40,0,1
42,4,15,0,30,1,0
40,4,15,2,43,0,0
22,4,1,4,45,0,0
62,4,11,2,45,0,1
44,4,15,2,40,0,0
18,0,15,4,40,1,0
33,6,3,3,40,0,0
45,4,11,2,50,0,0
18,4,1,2,40,0,0
32,2,15,4,40,0,0
33,4,10,4,60,1,1
20,4,15,4,15,0,0
68,6,11,2,20,0,0
61,4,5,2,50,0,1
48,4,10,2,40,0,1
45,4,11,2,40,0,0
36,6,11,2,40,1,1
32,1,11,4,32,1,0
35,4,9,0,40,1,0
39,4,11,2,40,0,0
53,4,5,2,40,0,0
30,4,15,5,16,1,0
37,4,11,4,40,0,0
40,4,9,0,45,0,0
25,4,15,4,40,1,0
41,4,11,4,60,1,0
52,6,11,2,98,0,1
33,4,11,2,40,0,0
28,4,11,4,40,0,0
25,6,11,2,40,0,1
53,4,15,2,55,0,0
44,4,3,4,10,0,0
35,4,11,0,40,1,0
38,4,15,0,58,0,0
34,4,11,2,40,0,0
33,4,11,0,40,1,0
24,7,15,2,45,1,0
65,2,11,6,25,1,0
29,4,7,2,60,0,0
39,5,14,2,65,0,1
46,2,15,2,40,0,1
37,4,5,2,60,0,0
47,7,12,2,47,0,1
62,4,15,2,40,0,0
54,6,11,2,60,0,0
90,4,15,4,35,0,0
33,4,7,3,20,0,0
57,4,15,2,45,0,0
25,4,7,4,40,0,0
44,5,15,2,50,0,1
52,4,9,3,50,0,0
21,4,15,4,40,0,0
31,4,11,4,18,0,0
39,4,12,2,40,0,0
59,1,11,6,40,1,0
29,6,11,2,55,0,0
49,4,5,4,45,0,0
34,4,6,2,40,0,0
22,4,9,4,40,0,0
32,4,9,2,40,0,0
39,7,11,0,40,1,0
46,4,12,2,60,0,0
50,4,11,2,40,0,1
34,4,11,4,40,0,0
28,2,12,2,55,1,0
18,4,2,4,24,1,0
20,4,11,4,30,0,0
20,4,11,4,40,1,0
55,7,8,6,38,1,0
22,4,15,4,40,1,0
60,6,12,2,40,0,0
40,4,0,0,50,0,0
47,7,15,2,30,1,0
23,4,9,4,35,1,0
57,2,11,6,40,1,0
52,4,1,2,40,0,0
42,4,5,6,40,0,0
25,4,7,4,20,0,0
49,5,11,2,40,1,1
41,1,15,4,40,0,0
40,7,8,2,30,0,0
38,4,9,2,55,0,1
58,4,11,4,40,0,0
26,4,9,4,35,1,0
57,4,0,0,70,1,0
28,4,11,2,60,0,0
42,4,11,5,40,1,0
28,4,15,4,55,0,0
17,0,6,4,40,0,0
39,6,6,2,40,0,0
28,4,11,2,40,0,0
42,4,11,2,48,0,1
51,6,15,0,50,1,0
27,4,15,4,39,1,0
41,4,11,0,43,1,0
28,4,9,2,40,0,0
54,6,15,0,30,1,1
73,0,11,6,8,1,0
49,4,11,2,30,1,0
47,4,12,2,40,0,1
27,4,15,2,49,0,0
42,2,9,2,45,1,1
32,4,11,2,40,1,0
32,2,11,2,41,0,0
27,4,12,4,40,0,0
29,4,11,2,40,0,1
22,4,8,4,30,0,0
41,1,11,2,40,0,1
49,2,15,2,40,0,1
58,6,11,2,50,0,0
41,6,11,2,40,0,1
26,4,6,2,35,0,0
21,4,11,4,55,0,0
32,0,11,2,2,1,1
37,4,9,2,50,0,1
23,4,9,4,20,0,0
42,6,15,2,40,0,1
25,4,11,2,26,0,1
67,4,15,0,40,1,0
41,2,11,0,38,1,0
49,2,12,2,50,1,1
36,4,9,0,45,1,0
18,4,1,4,35,0,0
25,4,4,2,40,0,0
43,7,14,0,50,0,0
38,4,10,2,36,1,1
21,4,15,4,20,0,0
65,6,9,2,15,0,0
66,4,8,6,35,1,0
33,4,1,4,60,0,0
51,4,11,2,38,1,0
27,5,11,2,40,0,0
17,4,2,4,16,1,0
32,4,9,2,45,0,1
61,0,11,6,36,1,0
38,4,11,2,40,0,1
43,2,15,0,40,1,0
40,7,10,2,40,0,1
63,4,9,2,35,0,0
76,0,15,2,20,0,1
42,4,7,0,40,1,0
43,1,9,4,40,0,1
76,6,12,2,30,0,1
41,2,14,2,45,0,1
17,4,0,4,20,0,0
30,6,11,4,40,0,0
30,4,9,4,50,0,0
22,4,15,4,25,0,0
53,0,9,0,20,1,0
28,4,11,4,52,1,0
25,0,8,4,40,1,0
24,4,15,4,40,1,0
47,4,0,2,40,0,1
34,6,8,4,50,0,0
26,4,15,4,20,1,0
63,0,9,6,56,1,0
25,4,8,2,75,0,0
28,4,9,4,45,0,0
36,4,11,4,40,1,0
24,4,9,4,40,0,0
51,5,9,2,35,1,0
44,4,9,2,50,0,1
18,4,2,4,12,0,0
54,1,15,2,40,0,1
61,4,15,0,40,1,0
51,4,9,2,45,0,1
43,4,5,2,40,0,0
51,4,11,2,40,0,0
50,2,11,2,40,1,1
27,0,11,4,25,1,0
24,4,15,2,30,0,0
20,7,15,2,20,0,0
52,4,9,0,40,0,1
57,2,5,0,40,0,0
49,5,15,2,60,0,0
42,5,9,2,35,1,0
22,4,1,4,40,1,0
38,4,15,2,40,0,1
21,4,15,4,20,1,0
39,1,9,2,60,0,1
52,6,15,4,35,1,0
25,4,7,4,40,1,0
50,4,15,3,40,1,0
35,7,15,2,80,0,0
50,4,8,5,40,1,0
58,4,11,2,25,0,0
48,1,9,0,45,0,0
30,4,15,0,35,1,0
18,4,1,4,12,0,0
29,6,11,2,40,0,0
52,6,15,2,45,0,0
63,4,11,2,40,0,0
36,2,12,2,40,1,1
24,4,15,4,42,1,0
30,2,7,4,40,0,0
23,4,11,2,40,0,0
35,0,11,0,20,1,0
21,4,9,4,20,1,0
28,4,15,4,43,0,0
20,4,11,4,40,0,0
18,4,1,4,20,0,0
21,4,15,4,15,1,0
27,4,11,4,40,0,0
42,4,15,0,40,1,0
21,4,15,4,30,1,0
51,4,15,2,40,0,1
27,1,9,4,40,1,0
23,6,11,4,40,0,0
57,4,15,2,40,0,1
22,7,9,4,12,1,0
59,4,6,2,60,0,1
38,4,11,0,40,0,0
20,4,11,4,40,0,0
90,4,6,4,40,1,0
35,4,8,2,40,0,0
50,4,11,2,38,0,1
45,4,10,2,50,0,1
44,4,12,2,50,0,1
23,4,7,4,40,0,0
34,4,1,2,40,0,0
23,5,9,0,43,1,0
39,7,15,2,40,0,0
19,4,15,4,55,0,0
54,4,15,2,40,0,1
40,4,12,0,43,0,0
44,4,15,4,50,0,0
31,5,15,2,20,1,1
25,4,6,5,40,0,0
33,4,9,2,32,1,1
32,4,11,4,60,0,0
36,4,0,2,40,0,0
47,6,15,2,55,0,1
80,4,12,6,10,1,0
21,4,15,4,8,1,0
35,6,15,2,60,0,0
77,0,12,0,45,0,0
30,4,11,2,40,0,0
35,0,11,2,40,0,0
49,4,5,2,40,0,0
33,4,11,2,25,1,0
53,6,15,2,45,0,0
41,4,11,0,55,0,0
57,4,9,2,40,0,1
21,0,15,4,25,1,0
19,4,15,4,40,1,0
28,4,9,4,45,1,0
42,1,12,0,60,0,0
29,6,15,2,55,0,0
38,0,8,5,25,1,0
26,4,15,4,20,0,0
41,4,15,4,60,0,1
40,4,15,0,40,1,0
36,6,10,4,40,0,1
28,4,11,2,40,0,0
25,6,9,4,20,1,0
42,6,11,2,60,0,0
32,4,11,4,40,0,0
32,4,7,4,30,0,0
37,4,4,2,40,0,0
39,2,11,2,56,0,0
49,4,9,2,40,0,0
28,0,11,4,40,0,0
24,0,6,4,20,1,0
19,4,11,4,40,1,0
31,4,11,2,40,0,0
40,4,11,0,40,1,0
29,4,5,4,30,0,0
59,4,11,2,48,0,0
52,4,7,2,40,0,1
27,4,9,4,40,0,0
45,2,9,2,45,0,1
58,4,9,2,40,0,0
53,4,9,4,40,0,0
23,4,11,4,25,0,0
35,4,1,0,40,0,0
49,4,11,2,40,0,0
49,4,7,0,40,1,0
25,4,2,4,40,0,0
47,4,12,0,50,1,1
28,4,7,0,40,1,0
20,4,15,4,30,1,0
74,0,4,2,56,0,0
19,4,11,4,24,0,0
28,4,11,2,40,0,0
31,4,15,0,40,1,0
61,0,15,3,40,0,0
30,4,8,2,53,0,0
20,0,15,4,40,0,0
35,4,5,2,40,0,1
23,4,9,4,40,0,0
25,4,9,2,30,1,1
19,4,11,4,30,0,0
30,4,12,4,45,0,1
26,4,11,4,35,0,0
34,2,11,2,45,0,0
49,4,9,0,40,1,0
35,4,15,2,40,0,0
38,4,11,4,40,1,0
36,4,11,2,20,0,0
33,4,11,2,48,0,1
54,4,15,4,40,1,0
19,2,11,4,40,0,0
18,3,0,4,40,0,0
60,4,11,2,40,0,0
28,6,11,4,40,0,0
43,6,11,2,40,0,0
49,2,4,2,40,0,0
25,4,9,4,70,0,0
17,4,0,4,20,0,0
41,5,9,2,60,0,1
30,4,15,2,35,0,0
90,2,12,2,60,0,1
25,4,11,4,40,0,0
27,4,8,2,35,0,0
29,4,11,2,40,0,0
55,4,15,2,40,0,1
31,1,9,4,40,1,0
43,4,8,2,99,0,0
63,4,12,5,40,1,1
46,4,5,2,40,0,0
59,4,11,2,40,0,0
42,4,9,2,50,1,1
26,4,9,4,20,1,0
26,4,15,2,45,0,0
20,0,15,4,30,1,0
19,0,11,4,40,1,0
61,4,6,0,40,0,1
23,7,11,2,40,0,0
24,4,11,2,40,1,0
35,4,9,0,40,0,1
42,6,11,2,12,0,0
31,4,2,0,21,1,0
31,4,11,2,55,1,0
63,4,9,6,25,1,0
29,7,8,4,64,1,0
43,7,9,2,40,0,0
22,4,9,4,10,1,0
17,4,1,4,25,0,0
23,6,9,4,40,0,1
35,4,6,0,45,0,0
32,4,11,0,28,1,0
50,5,9,2,60,0,1
25,4,11,4,40,0,0
26,2,12,3,40,1,0
32,4,9,2,40,0,0
29,4,8,2,50,0,0
57,4,15,2,40,0,1
90,4,12,4,50,0,1
35,4,8,0,40,1,1
31,6,15,2,60,0,1
60,4,11,0,33,1,0
21,4,8,2,40,1,0
71,2,12,6,40,1,0
22,4,8,4,30,0,0
50,2,11,0,40,1,0
37,4,15,2,45,0,1
23,4,11,4,40,1,0
74,4,11,2,30,0,0
67,4,15,2,70,0,0
59,4,15,2,43,0,1
28,4,11,2,40,0,0
45,4,11,2,40,0,0
63,6,15,2,20,0,0
39,4,9,4,63,1,0
33,7,15,0,40,1,0
32,4,9,4,40,0,0
34,4,9,2,45,0,1
39,4,11,4,40,0,0
29,7,12,2,36,0,0
22,4,11,2,40,0,0
53,4,9,0,43,1,1
46,4,8,2,42,0,0
51,4,15,2,40,1,1
44,4,14,0,99,1,0
56,7,11,0,40,1,0
27,4,9,4,40,1,0
52,4,6,3,30,1,0
39,4,9,4,40,0,1
45,1,15,2,40,0,1
37,4,15,2,45,0,0
33,4,11,0,40,0,0
35,0,11,4,4,1,0
46,4,4,2,45,1,0
35,4,2,2,50,1,0
33,4,11,2,50,0,0
48,4,9,2,40,0,0
32,4,11,0,50,0,0
18,0,0,4,40,0,0
20,4,15,4,32,1,0
35,4,11,4,60,0,0
19,4,11,4,25,1,0
21,4,11,4,40,1,0
56,4,1,5,40,1,0
28,4,9,4,16,1,0
45,4,11,0,40,1,0
32,4,8,2,45,1,0
44,4,9,2,12,0,0
55,4,11,2,40,0,1
34,4,15,2,40,0,1
33,4,12,2,40,0,1
36,4,9,4,55,0,0
25,4,11,4,40,1,0
28,4,9,4,40,0,0
39,4,9,2,55,0,1
53,4,0,3,40,1,0
47,4,11,0,45,1,0
49,5,8,0,60,0,0
22,4,11,4,40,0,0
31,4,15,4,40,0,0
44,5,15,0,80,0,0
19,4,11,4,40,0,0
37,6,11,0,40,0,0
60,0,11,6,35,0,0
23,4,15,4,25,0,0
44,4,14,2,65,0,1
54,2,11,2,35,1,0
23,4,11,2,38,0,0
21,4,15,4,10,1,0
19,7,15,4,25,0,0
51,4,9,2,20,0,1
41,4,9,2,50,0,1
61,4,15,2,18,0,1
19,6,0,3,40,1,0
22,4,9,4,40,0,0
22,4,11,4,40,1,0
49,4,5,2,32,0,0
35,4,0,0,50,0,0
38,4,15,2,40,0,0
29,4,11,2,40,0,1
56,4,8,2,45,0,1
41,4,15,0,80,1,0
62,5,12,2,45,0,1
27,4,11,4,40,0,0
55,0,11,0,40,1,0
25,4,11,4,42,0,0
33,4,9,2,75,0,1
26,4,11,4,40,1,0
43,4,11,0,45,0,0
53,1,12,2,40,0,1
43,4,9,0,40,1,0
56,4,11,0,35,0,0
25,4,9,2,50,0,0
60,4,12,0,40,0,0
28,4,15,4,40,1,0
21,4,11,4,40,0,0
40,4,9,4,40,1,0
29,4,11,2,40,0,0
20,4,15,4,25,1,0
25,4,11,2,80,0,1
18,4,1,4,10,1,0
32,7,7,2,35,0,0
27,4,3,4,35,0,0
48,4,11,6,16,1,0
20,4,15,4,25,1,0
55,4,11,0,40,1,0
33,2,9,4,50,1,1
21,7,15,4,12,1,0
43,6,11,2,30,0,0
35,4,15,2,40,0,0
39,2,9,2,35,0,1
19,4,11,4,40,1,0
25,4,11,4,40,1,0
44,4,15,2,72,0,1
27,4,7,4,40,0,0
39,4,11,2,40,1,1
69,4,0,4,40,0,0
34,4,9,4,40,1,0
20,0,15,4,35,0,0
37,4,4,5,40,1,0
43,2,9,0,39,1,0
62,0,11,2,48,0,0
34,7,12,2,40,1,1
31,6,15,2,48,0,0
42,7,10,0,60,1,1
26,4,11,0,30,1,0
39,4,15,5,75,1,0
25,4,9,4,40,0,0
54,2,15,2,30,0,0
44,7,12,2,60,0,1
34,7,12,2,38,0,1
21,5,15,4,40,0,0
50,4,4,2,55,0,0
33,4,11,4,40,0,0
40,5,7,2,40,1,1
44,4,12,2,40,0,1
33,2,7,0,56,0,0
21,2,15,4,40,0,0
35,6,9,4,60,1,0
43,4,15,2,40,0,1
57,0,0,5,30,0,0
51,2,12,2,45,0,0
29,4,11,2,40,0,0
51,2,11,5,40,0,0
35,4,11,2,40,0,0
18,4,1,4,20,0,0
58,4,0,2,50,0,0
57,5,15,2,40,0,1
19,4,11,4,20,1,0
37,4,15,5,40,1,0
38,4,11,2,44,0,0
45,4,15,3,40,1,0
27,4,15,2,40,0,1
64,0,5,6,40,1,0
38,2,15,2,72,0,0
30,4,11,0,30,0,0
46,4,9,2,40,0,0
18,0,0,4,30,1,0
60,4,11,2,40,0,1
30,4,11,5,44,0,0
47,4,15,2,40,0,1
39,4,9,4,40,1,0
42,4,15,2,45,0,1
27,4,15,0,40,1,0
44,4,15,0,40,0,0
33,4,9,2,40,0,0
54,4,9,4,50,0,1
58,6,15,2,35,0,0
45,4,9,4,30,0,0
59,4,15,2,50,0,0
29,4,7,4,50,1,0
27,4,11,4,40,1,0
44,4,12,2,20,0,1
44,4,11,2,40,0,1
33,4,15,2,70,0,1
27,4,11,4,40,0,0
33,4,9,2,55,0,1
55,4,8,0,40,1,0
32,6,8,2,60,0,0
31,4,8,2,45,0,0
57,5,14,2,60,0,1
30,4,9,2,45,0,1
78,0,11,6,1,1,0
28,4,9,4,48,1,0
30,6,15,4,40,0,0
29,4,12,2,40,0,1
66,4,11,4,3,1,0
60,4,11,2,45,0,1
31,4,9,2,40,0,0
26,4,11,4,40,0,0
24,4,11,4,45,0,0
29,4,9,4,50,0,1
44,4,11,2,45,0,1
34,2,9,2,55,0,1
59,4,9,2,43,0,1
23,4,9,4,24,0,0
23,4,1,4,40,0,0
55,2,8,5,35,1,0
39,5,11,2,40,0,1
39,4,1,4,40,0,0
57,4,5,0,75,0,0
35,4,11,0,40,1,0
39,2,8,2,48,0,1
47,4,11,2,38,1,1
53,7,10,2,50,0,1
23,4,15,4,25,0,0
35,4,12,4,50,0,1
44,4,15,0,40,1,0
28,4,11,4,25,1,0
26,4,9,4,40,1,0
23,4,11,4,45,0,0
32,4,11,2,25,0,0
49,5,15,2,50,0,1
36,4,15,4,60,0,0
36,4,11,0,36,1,0
41,0,4,2,40,0,0
21,4,7,2,46,1,1
54,6,9,2,40,0,1
43,4,15,3,40,1,0
35,2,15,0,40,1,0
31,4,15,2,50,0,1
46,4,15,2,40,0,0
46,4,11,5,40,1,0
56,4,11,2,40,0,0
45,0,12,2,1,1,0
21,4,11,4,40,0,0
51,4,12,2,50,0,1
47,7,15,0,20,0,0
42,4,4,3,40,0,0
19,4,15,4,30,1,0
25,4,9,4,40,0,0
37,4,12,2,60,0,1
35,4,2,2,40,0,0
40,4,11,2,30,0,0
